135 6809 619 5377 3579 16384 0.655468 0.896765 0.103235
136 6743 607 5389 3645 16384 0.649114 0.898766 0.101234
137 6666 590 5406 3722 16384 0.641702 0.901601 0.098399
138 6598 576 5420 3790 16384 0.635156 0.903936 0.096064
139 6508 564 5432 3880 16384 0.626492 0.905937 0.094063
140 6448 546 5450 3940 16384 0.620716 0.908939 0.091061
141 6379 532 5464 4009 16384 0.614074 0.911274 0.088726
142 6306 516 5480 4082 16384 0.607047 0.913943 0.086057
143 6229 499 5497 4159 16384 0.599634 0.916778 0.083222
144 6153 481 5515 4235 16384 0.592318 0.919780 0.080220
145 6086 466 5530 4302 16384 0.585868 0.922282 0.077718
146 6013 456 5540 4375 16384 0.578841 0.923949 0.076051
147 5927 445 5551 4461 16384 0.570562 0.925784 0.074216
148 5851 430 5566 4537 16384 0.563246 0.928286 0.071714
149 5772 417 5579 4616 16384 0.555641 0.930454 0.069546
150 5676 402 5594 4712 16384 0.546400 0.932955 0.067045
151 5598 388 5608 4790 16384 0.538891 0.935290 0.064710
152 5511 369 5627 4877 16384 0.530516 0.938459 0.061541
153 5428 358 5638 4960 16384 0.522526 0.940294 0.059706
154 5332 342 5654 5056 16384 0.513285 0.942962 0.057038
155 5238 321 5675 5150 16384 0.504236 0.946464 0.053536
156 5153 306 5690 5235 16384 0.496053 0.948966 0.051034
157 5058 294 5702 5330 16384 0.486908 0.950967 0.049033
158 4975 288 5708 5413 16384 0.478918 0.951968 0.048032
159 4899 272 5724 5489 16384 0.471602 0.954636 0.045364
160 4813 252 5744 5575 16384 0.463323 0.957972 0.042028
161 4713 243 5753 5675 16384 0.453697 0.959473 0.040527
162 4623 235 5761 5765 16384 0.445033 0.960807 0.039193
163 4547 216 5780 5841 16384 0.437717 0.963976 0.036024
164 4460 206 5790 5928 16384 0.429342 0.965644 0.034356
165 4373 194 5802 6015 16384 0.420967 0.967645 0.032355
166 4279 185 5811 6109 16384 0.411918 0.969146 0.030854
167 4187 169 5827 6201 16384 0.403061 0.971815 0.028185
168 4091 159 5837 6297 16384 0.393820 0.973482 0.026518
169 4018 149 5847 6370 16384 0.386792 0.975150 0.024850
170 3937 142 5854 6451 16384 0.378995 0.976318 0.023682
171 3860 134 5862 6528 16384 0.371583 0.977652 0.022348
172 3780 129 5867 6608 16384 0.363881 0.978486 0.021514
173 3708 119 5877 6680 16384 0.356950 0.980153 0.019847
174 3627 115 5881 6761 16384 0.349153 0.980821 0.019179
175 3544 111 5885 6844 16384 0.341163 0.981488 0.018512
176 3470 109 5887 6918 16384 0.334039 0.981821 0.018179
177 3375 98 5898 7013 16384 0.324894 0.983656 0.016344
178 3302 91 5905 7086 16384 0.317867 0.984823 0.015177
179 3233 80 5916 7155 16384 0.311224 0.986658 0.013342
180 3153 77 5919 7235 16384 0.303523 0.987158 0.012842
181 3080 73 5923 7308 16384 0.296496 0.987825 0.012175
182 2997 69 5927 7391 16384 0.288506 0.988492 0.011508
183 2933 67 5929 7455 16384 0.282345 0.988826 0.011174
184 2863 64 5932 7525 16384 0.275606 0.989326 0.010674
185 2777 60 5936 7611 16384 0.267328 0.989993 0.010007
186 2709 55 5941 7679 16384 0.260782 0.990827 0.009173
187 2630 53 5943 7758 16384 0.253177 0.991161 0.008839
188 2552 51 5945 7836 16384 0.245668 0.991494 0.008506
189 2454 51 5945 7934 16384 0.236234 0.991494 0.008506
190 2350 49 5947 8038 16384 0.226223 0.991828 0.008172
191 2269 46 5950 8119 16384 0.218425 0.992328 0.007672
192 2197 45 5951 8191 16384 0.211494 0.992495 0.007505
193 2112 43 5953 8276 16384 0.203312 0.992829 0.007171
194 2049 35 5961 8339 16384 0.197247 0.994163 0.005837
195 1957 33 5963 8431 16384 0.188390 0.994496 0.005504
196 1882 30 5966 8506 16384 0.181171 0.994997 0.005003
197 1807 30 5966 8581 16384 0.173951 0.994997 0.005003
198 1742 29 5967 8646 16384 0.167693 0.995163 0.004837
199 1675 26 5970 8713 16384 0.161244 0.995664 0.004336
200 1597 24 5972 8791 16384 0.153735 0.995997 0.004003
201 1528 23 5973 8860 16384 0.147093 0.996164 0.003836
202 1458 23 5973 8930 16384 0.140354 0.996164 0.003836
203 1392 19 5977 8996 16384 0.134001 0.996831 0.003169
204 1319 19 5977 9069 16384 0.126973 0.996831 0.003169
205 1246 17 5979 9142 16384 0.119946 0.997165 0.002835
206 1174 17 5979 9214 16384 0.113015 0.997165 0.002835
207 1092 15 5981 9296 16384 0.105121 0.997498 0.002502
208 1021 15 5981 9367 16384 0.098286 0.997498 0.002502
209 973 15 5981 9415 16384 0.093666 0.997498 0.002502
210 906 14 5982 9482 16384 0.087216 0.997665 0.002335
211 849 13 5983 9539 16384 0.081729 0.997832 0.002168
212 795 12 5984 9593 16384 0.076531 0.997999 0.002001
213 743 11 5985 9645 16384 0.071525 0.998165 0.001835
214 691 10 5986 9697 16384 0.066519 0.998332 0.001668
215 642 9 5987 9746 16384 0.061802 0.998499 0.001501
216 593 9 5987 9795 16384 0.057085 0.998499 0.001501
217 558 8 5988 9830 16384 0.053716 0.998666 0.001334
218 502 8 5988 9886 16384 0.048325 0.998666 0.001334
219 460 5 5991 9928 16384 0.044282 0.999166 0.000834
220 431 5 5991 9957 16384 0.041490 0.999166 0.000834
221 390 5 5991 9998 16384 0.037543 0.999166 0.000834
222 356 5 5991 10032 16384 0.034270 0.999166 0.000834
223 316 5 5991 10072 16384 0.030420 0.999166 0.000834
224 276 5 5991 10112 16384 0.026569 0.999166 0.000834
225 254 5 5991 10134 16384 0.024451 0.999166 0.000834
226 221 4 5992 10167 16384 0.021275 0.999333 0.000667
227 198 3 5993 10190 16384 0.019060 0.999500 0.000500
228 180 3 5993 10208 16384 0.017328 0.999500 0.000500
229 164 2 5994 10224 16384 0.015787 0.999666 0.000334
230 144 1 5995 10244 16384 0.013862 0.999833 0.000167
231 125 1 5995 10263 16384 0.012033 0.999833 0.000167
232 108 0 5996 10280 16384 0.010397 1.000000 0.000000
233 84 0 5996 10304 16384 0.008086 1.000000 0.000000
234 74 0 5996 10314 16384 0.007124 1.000000 0.000000
235 64 0 5996 10324 16384 0.006161 1.000000 0.000000
236 46 0 5996 10342 16384 0.004428 1.000000 0.000000
237 36 0 5996 10352 16384 0.003466 1.000000 0.000000
238 28 0 5996 10360 16384 0.002695 1.000000 0.000000
239 20 0 5996 10368 16384 0.001925 1.000000 0.000000
240 14 0 5996 10374 16384 0.001348 1.000000 0.000000
241 12 0 5996 10376 16384 0.001155 1.000000 0.000000
242 7 0 5996 10381 16384 0.000674 1.000000 0.000000
243 3 0 5996 10385 16384 0.000289 1.000000 0.000000
244 2 0 5996 10386 16384 0.000193 1.000000 0.000000
245 2 0 5996 10386 16384 0.000193 1.000000 0.000000
246 2 0 5996 10386 16384 0.000193 1.000000 0.000000
247 0 0 5996 10388 16384 0.000000 1.000000 0.000000
248 0 0 5996 10388 16384 0.000000 1.000000 0.000000
249 0 0 5996 10388 16384 0.000000 1.000000 0.000000
250 0 0 5996 10388 16384 0.000000 1.000000 0.000000
251 0 0 5996 10388 16384 0.000000 1.000000 0.000000
252 0 0 5996 10388 16384 0.000000 1.000000 0.000000
253 0 0 5996 10388 16384 0.000000 1.000000 0.000000
254 0 0 5996 10388 16384 0.000000 1.000000 0.000000
255 0 0 5996 10388 16384 0.000000 1.000000 0.000000
